keys,en
UI_COMMON_CLOSE,Close
UI_COMMON_CANCEL,Cancel
UI_COMMON_CONTINUE,Continue
UI_TOP_SPROUTS,Sprouts: {0}
UI_TOP_SHOP,Shop
UI_TOP_INVENTORY,Inventory
UI_TOP_BREED,Breed
UI_TOP_RACE,Race
UI_TOP_SETTINGS,Settings
UI_TOP_CENTER,Center
UI_TOP_RESET,Reset
UI_SETTINGS_TITLE,SETTINGS
UI_SETTINGS_AUDIO,Audio
UI_SETTINGS_CAMERA,Camera
UI_SETTINGS_RACE,Race
UI_SETTINGS_VOLUME,Volume {0}%
UI_SETTINGS_AUTO_FINISH_ON,Auto Finish: ON
UI_SETTINGS_AUTO_FINISH_OFF,Auto Finish: OFF
UI_SETTINGS_AUTO_FINISH_TOOLTIP,Finish once either you finish or every CPU has already finished.
UI_SETTINGS_EDGE_PAN_ON,Edge Pan: ON
UI_SETTINGS_EDGE_PAN_OFF,Edge Pan: OFF
UI_SETTINGS_EDGE_PAN_TOOLTIP,Move the cursor to an edge to pan the garden or family tree.
UI_SETTINGS_HINT,ESC opens/closes this menu from the garden.
UI_SHOP_TITLE,SPROUT MARKET
UI_SHOP_WELCOME,Pick something from the stall
UI_SHOP_WALLET,SPROUTS  {0}
UI_SHOP_TREATS_TITLE,TRAINING TREATS
UI_SHOP_TREATS_SUBTITLE,One treat is consumed when you train a stat.
UI_SHOP_EGGS_TITLE,MYSTERY EGGS
UI_SHOP_EGGS_SUBTITLE,Each egg already carries its own hidden DNA.
UI_SHOP_OWNED,OWNED {0}
UI_SHOP_BUY,BUY {0}
UI_SHOP_MYSTERY_EGG,MYSTERY EGG {0}
UI_SHOP_HIDDEN_DNA,Hidden DNA
UI_BREED_TITLE,BREEDING NEST
UI_BREED_NEED_TWO_ADULTS,You need two adult Voidlings.
UI_BREED_ACTION,Breed
UI_BREED_CHOOSE_TWO,Choose two adults.
UI_BREED_DIFFERENT_PARENTS,Choose two different Voidlings.
UI_BREED_ADULTS_ONLY,Both parents must be adults.
UI_BREED_COOLDOWN,One parent is still on breeding cooldown.
UI_BREED_RELATED,Related pairing • inbreeding level {0} • {1}% hatch-failure risk.
UI_BREED_CLEAN_OUTCROSS,Clean outcross • inherited burden falls to level {0}.
UI_BREED_UNRELATED_BURDEN,Unrelated pairing • inherited burden remains level {0}.
UI_BREED_UNRELATED_CLEAN,Unrelated pairing • no inbreeding penalty.
UI_RACE_PICKER_TITLE,CHOOSE A RACER
UI_RACE_PICKER_EMPTY,No Voidlings are currently on the farm.
UI_RACE_PICKER_HINT,Choose one Voidling. All other racers are generated CPU opponents.
UI_RACE_START,Start Race
UI_INVENTORY_TITLE,INVENTORY
UI_INVENTORY_SUBTITLE,Items you currently own
UI_INVENTORY_TREAT,{0} Treat
UI_INVENTORY_EGGS,Eggs on Island
UI_DETAILS_STATS,Stats
UI_DETAILS_DNA,DNA
UI_DETAILS_VISUAL,Visual
UI_DETAILS_ADULT,ADULT
UI_DETAILS_CHILD,CHILD
UI_DETAILS_STATS_HINT,Rank controls potential; level/progress reflects training.
UI_DETAILS_GENERATION,Generation {0}
UI_DETAILS_INBREEDING,Inbreeding burden: {0}
UI_DETAILS_DNA_HINT,DNA1 and DNA2 are the two inherited ability genes.
UI_DETAILS_COLOR_DNA,Color DNA1 #{0}    DNA2 #{1}
UI_DETAILS_CURRENT_APPEARANCE,CURRENT APPEARANCE
UI_DETAILS_SHOWN_COLOR,Shown color DNA: #{0}
UI_DETAILS_COLOR_PAIR,Color DNA: #{0} / #{1}
UI_DETAILS_NO_MUTATION,Mutation: none
UI_DETAILS_MUTATION_TRANSMIT,Mutation: {0}  • founder {1}  • G{2}  • can pass on
UI_DETAILS_MUTATION_TERMINAL,Mutation: {0}  • founder {1}  • G{2}  • terminal
